School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
James Madison,36,21,15,.583,-1.73,-2.28,11,7,10,4,4,9,2346,2326,64.1,100.9,.368,.324,.514,46.2,51.7,11.7,13.5,.476,15.0,29.6,.257
Kansas State,35,27,8,.771,13.53,6.53,14,4,15,1,7,3,2414,2115,63.6,108.4,.315,.329,.524,50.6,63.9,11.1,10.3,.495,14.9,38.7,.216
Kansas,37,31,6,.838,20.79,7.54,14,4,16,1,7,3,2782,2292,67.8,109.1,.395,.290,.572,52.6,58.4,10.2,17.6,.533,17.5,33.8,.291
Kennesaw State,30,3,27,.100,-15.40,-4.76,2,16,2,10,1,15,1831,2150,64.5,92.8,.374,.312,.483,43.6,48.4,10.7,4.9,.447,17.9,30.6,.243
Kent State,35,21,14,.600,2.38,-0.83,9,7,12,6,8,7,2484,2373,65.8,106.0,.438,.348,.535,48.2,48.8,10.0,7.4,.491,16.1,34.9,.311
Kentucky,33,21,12,.636,13.94,5.78,12,6,16,2,4,8,2396,2127,66.8,107.9,.417,.293,.551,51.2,51.1,8.3,15.6,.526,16.5,34.7,.268
La Salle,34,24,10,.706,10.14,4.46,11,5,13,2,8,6,2450,2257,66.5,107.6,.313,.360,.552,44.6,55.2,11.6,8.3,.519,15.0,29.0,.231
Lafayette,34,19,15,.559,-3.00,-2.36,10,4,14,3,5,12,2349,2346,65.8,104.6,.280,.390,.563,43.8,57.7,10.3,8.5,.532,16.9,25.4,.211
Lamar,31,3,28,.097,-20.55,-3.26,1,17,1,10,1,17,1862,2398,70.7,84.2,.315,.108,.465,46.7,49.7,6.0,8.9,.424,22.0,32.4,.221
Lehigh,31,21,10,.677,3.95,-3.01,10,4,11,3,9,7,2266,2022,66.6,109.7,.362,.352,.567,45.0,57.5,10.6,9.3,.531,14.5,27.2,.267
Liberty,36,15,21,.417,-9.13,-5.80,6,10,8,7,4,11,2489,2519,66.6,102.7,.394,.342,.536,47.2,52.9,8.1,7.6,.493,17.1,29.7,.288
Lipscomb,30,12,18,.400,-11.70,-3.45,7,11,8,6,4,11,2079,2300,70.9,96.5,.446,.294,.508,49.9,48.1,9.7,5.1,.471,19.8,36.1,.288
Long Beach State,33,19,14,.576,-1.18,1.92,14,4,11,3,7,10,2291,2360,68.2,101.5,.368,.357,.531,47.1,49.1,9.5,9.2,.502,18.4,32.7,.243
Long Island University,34,20,14,.588,-3.21,-5.80,12,6,12,2,7,9,2677,2589,70.0,111.6,.456,.339,.576,48.6,56.3,9.7,8.3,.544,17.3,35.2,.315
