School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM
Florida State,35,26,9,.743,18.97,8.97,12,6,18,0,3,6,2873,2523,,72.6,113.0,.384,.313,.566,52.7,49.3,10.2,13.7,.537,14.1,33.4,.265,+22.74,116.7,94.0,70.4,+.023,+9.69,110.9,101.2,-3.61
Fordham,32,13,19,.406,-1.83,1.49,7,11,8,9,5,8,2090,2167,,66.8,96.2,.266,.444,.520,44.3,57.9,14.5,9.3,.490,17.4,23.3,.193,-2.95,96.9,99.9,63.8,-.023,+1.24,104.9,103.6,-3.11
Fresno State,33,20,13,.606,4.35,2.28,11,7,13,2,6,10,2426,2315,,70.2,102.4,.408,.317,.543,50.6,48.6,11.7,11.3,.511,16.5,27.3,.274,+5.92,104.9,99.0,67.8,+.007,+1.87,105.3,103.4,-2.35
Furman,33,22,11,.667,2.38,-3.52,14,4,11,3,11,7,2460,2178,,67.5,109.5,.325,.428,.580,52.0,57.8,10.3,7.3,.557,16.8,28.5,.224,+5.30,107.3,102.0,65.1,-.005,-1.25,104.7,106.0,+0.61
Gardner-Webb,33,19,14,.576,-3.05,-5.69,11,7,9,5,8,8,2546,2319,,71.4,106.1,.430,.290,.555,52.8,53.2,12.1,9.7,.534,17.1,31.8,.268,-0.70,102.7,103.4,70.3,-.041,-5.32,101.5,106.8,+4.83
George Mason,34,20,14,.588,3.20,1.48,9,9,10,7,7,5,2519,2437,,69.2,105.2,.395,.276,.541,55.0,45.3,7.1,7.2,.494,15.9,31.9,.295,+4.57,108.6,104.0,68.1,+.030,+1.37,103.8,102.4,-3.19
George Washington,34,20,14,.588,3.04,2.51,10,8,14,3,5,7,2376,2358,,66.8,104.5,.370,.386,.539,53.4,56.7,8.1,9.8,.495,16.7,32.8,.277,+3.18,108.3,105.1,65.2,+.067,+2.23,104.5,102.3,-1.13
Georgetown,32,14,18,.438,11.30,9.42,5,13,9,8,3,7,2369,2309,,70.2,104.6,.426,.337,.562,50.6,59.4,7.7,11.5,.520,17.8,28.8,.312,+10.95,108.6,97.6,68.2,-.102,+10.14,111.0,100.8,+2.31
Georgia,34,19,15,.559,11.13,10.28,9,9,12,6,5,7,2435,2393,,69.7,102.0,.408,.283,.536,51.5,51.3,7.6,9.8,.485,16.3,28.7,.309,+12.83,108.7,95.9,66.6,+.021,+11.14,109.7,98.6,+4.98
Georgia Southern,33,18,15,.545,-3.61,-2.80,11,7,10,4,6,11,2492,2420,,70.5,106.7,.400,.438,.549,46.8,40.7,9.6,8.8,.520,14.6,26.0,.266,-0.24,106.5,106.8,68.3,+.041,-0.47,105.1,105.6,+2.25
Georgia State,33,20,13,.606,-0.35,-2.19,12,6,11,3,6,9,2442,2312,,70.4,104.8,.349,.365,.555,51.6,45.1,10.1,14.0,.534,17.4,30.4,.226,+3.50,104.6,101.1,67.8,+.015,-0.80,104.5,105.3,+2.46
