School,G,W,L,W-L%,SRS,SOS,ConfW,ConfL,HomeW,HomeL,AwayW,AwayL,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM
Saint Joseph's,31,13,18,.419,0.02,2.83,7,11,10,7,3,11,1912,1999,0,688,1704,.404,167,559,.299,369,600,.615,352,1099,394,205,135,387,523,64.1,94.7,.352,.328,.481,50.1,57.3,10.2,11.8,.453,16.4,31.4,.217,.5049,98.1,97.9,64.3,-.006,.5829,102.7,99.8,.5060
Saint Louis,32,11,21,.344,-5.20,2.60,3,15,9,9,2,12,1912,2122,0,652,1587,.411,172,528,.326,436,666,.655,290,979,391,170,72,443,630,63.7,93.0,.420,.333,.502,47.2,60.0,8.3,6.8,.465,19.1,27.3,.275,.2366,93.3,103.4,63.5,+.064,.5448,102.3,100.7,.3707
Saint Mary's (CA),30,21,9,.700,9.45,4.00,13,5,14,4,7,5,2077,1909,0,728,1582,.460,222,585,.379,399,561,.711,311,1075,457,151,68,363,525,62.4,109.2,.355,.370,.562,55.3,62.8,7.9,6.8,.530,16.6,33.2,.252,.7407,108.5,99.0,62.5,+.034,.5633,104.5,102.2,.4669
Saint Peter's,34,16,18,.471,-2.94,-3.91,8,12,7,6,9,12,2081,2048,0,698,1695,.412,193,563,.343,492,745,.660,353,1109,344,213,101,413,654,61.3,98.3,.440,.332,.508,50.1,49.3,10.1,8.9,.469,17.0,31.4,.290,.4230,97.4,100.1,60.7,-.067,.3843,99.3,103.4,.4008
Sam Houston State,33,25,8,.758,2.87,-6.24,15,3,17,3,8,5,2435,1959,0,794,1849,.429,249,762,.327,598,841,.711,432,1325,478,220,147,433,671,67.1,108.7,.455,.412,.541,55.0,60.2,9.8,13.5,.497,16.3,36.3,.323,.6933,100.8,93.9,64.8,-.039,.3532,100.6,106.0,.4885
Samford,32,13,19,.406,-9.32,-5.49,6,12,8,6,5,13,2216,2301,0,780,1756,.444,204,588,.347,452,661,.684,326,1015,423,235,96,414,657,67.2,102.6,.376,.335,.535,48.0,54.2,10.9,8.2,.502,16.8,30.2,.257,.2566,100.6,110.3,66.8,+.009,.3481,100.0,105.6,.3783
San Diego,31,15,16,.484,5.65,4.09,8,10,10,6,5,10,2006,1949,0,690,1636,.422,192,562,.342,434,632,.687,321,1016,388,199,119,364,616,63.3,101.4,.386,.344,.518,49.2,56.2,10.1,11.1,.480,16.0,30.5,.265,.6467,101.4,96.2,63.1,-.076,.5973,105.3,101.7,.5470
San Diego State,34,26,8,.765,11.98,3.73,14,4,16,2,10,6,2101,1807,0,756,1805,.419,178,556,.320,411,653,.629,413,1197,360,236,171,386,486,60.6,100.9,.362,.308,.497,52.4,47.6,11.3,13.7,.468,15.6,35.6,.228,.8457,102.4,88.3,60.7,+.014,.5740,103.5,100.9,.5962
San Francisco,32,14,18,.438,3.59,3.33,7,11,8,8,6,10,2215,2167,0,783,1735,.451,203,596,.341,446,709,.629,340,1113,443,186,79,376,647,65.6,104.8,.409,.344,.535,50.5,56.6,8.8,6.9,.510,15.5,31.1,.257,.5367,103.1,101.8,65.9,-.082,.5622,104.6,102.4,.3966
San Jose State,30,2,28,.067,-15.85,2.29,0,18,2,15,0,13,1612,2086,0,553,1559,.355,196,668,.293,310,475,.653,272,939,294,145,78,426,548,64.3,83.2,.305,.428,.452,45.8,53.2,7.5,8.8,.418,19.4,24.9,.199,.0569,85.2,108.7,64.6,-.030,.5511,103.8,102.0,.4750
