School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Lafayette,28,12,16,.429,-8.83,-7.45,4,8,7,5,4,9,2110,2111,103.3,.392,.391,.546,46.1,61.2,12.0,11.3,.504,17.8,30.3,.287
Lamar,27,9,18,.333,-16.83,-8.94,7,13,8,5,1,13,1696,1875,93.5,.423,.326,.497,50.0,45.2,7.6,7.4,.465,19.6,32.4,.263
Lehigh,29,13,16,.448,-10.30,-8.33,6,6,8,5,4,11,2036,2034,94.5,.459,.318,.533,52.3,60.3,10.9,10.3,.482,23.0,33.2,.334
Liberty,28,13,15,.464,-13.62,-9.70,5,9,9,4,3,10,1847,1856,92.2,.414,.145,.484,52.2,54.9,14.9,7.9,.442,20.8,38.1,.274
Long Beach State,31,18,13,.581,-1.92,-0.10,10,6,10,4,6,7,2325,2313,102.5,.436,.292,.527,50.5,51.1,11.3,5.9,.500,17.7,34.4,.273
Long Island University,28,12,16,.429,-14.40,-8.57,12,8,8,5,4,10,1899,2062,93.2,.282,.316,.506,46.1,47.2,10.7,9.4,.467,19.7,28.8,.214
Louisiana,29,16,13,.552,0.58,-0.46,10,6,9,3,5,7,2226,2161,103.2,.376,.344,.526,50.5,58.5,9.7,7.2,.507,18.3,36.4,.226
Louisiana-Monroe,28,11,17,.393,-14.11,-6.95,8,12,9,4,2,13,2023,2150,94.7,.394,.333,.516,47.5,60.4,9.6,11.2,.488,21.1,32.5,.249
Louisiana State,29,13,16,.448,10.69,7.58,2,14,10,7,2,8,2069,1979,101.1,.387,.335,.538,50.6,60.8,12.6,6.1,.503,19.1,33.1,.268
Louisiana Tech,29,17,12,.586,-1.23,-3.87,10,6,9,3,7,7,1982,1869,102.1,.425,.308,.542,52.0,53.1,9.7,5.2,.507,19.1,34.3,.290
Louisville,31,12,19,.387,2.83,8.67,8,8,6,10,5,7,2156,2337,98.8,.358,.290,.499,48.0,57.1,8.7,10.7,.464,16.8,34.8,.238
Loyola (IL),28,7,21,.250,-6.69,0.92,2,12,7,8,0,11,1932,2145,98.2,.294,.254,.496,51.6,55.6,8.4,8.3,.469,17.7,37.8,.193
Loyola Marymount,28,9,19,.321,-6.75,-0.23,5,9,5,7,4,11,1870,2023,96.4,.416,.255,.502,50.9,60.5,7.9,5.1,.460,19.1,35.8,.282
Loyola (MD),29,6,23,.207,-13.53,-4.66,2,16,4,7,0,15,1798,2055,91.1,.368,.306,.496,48.0,60.4,8.2,8.5,.469,20.3,29.9,.229
Maine,29,18,11,.621,-4.68,-6.51,10,8,10,2,7,8,2273,2193,107.2,.425,.340,.561,52.5,58.8,10.4,6.4,.520,18.7,37.2,.306
Manhattan,29,14,15,.483,-0.82,-3.89,11,7,9,3,5,9,2082,1993,102.5,.364,.296,.522,49.1,57.3,14.5,6.7,.474,16.6,33.7,.277
Marist,30,17,13,.567,-1.87,-3.94,11,7,13,2,3,10,2119,2057,100.4,.331,.312,.504,48.8,61.9,11.2,9.6,.471,15.4,32.3,.224
