School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM
Fairfield,33,17,16,.515,-4.98,-3.68,9,9,10,3,3,10,2506,2549,,72.1,103.3,.309,.444,.544,48.3,55.3,8.7,7.6,.514,15.4,24.5,.220,-4.37,102.1,106.4,70.5,+.051,-4.52,103.0,107.5,-0.90
Fairleigh Dickinson,31,13,18,.419,-10.42,-5.66,9,9,8,5,5,13,2313,2350,,71.8,104.0,.307,.334,.540,48.3,49.4,9.9,8.7,.508,16.6,30.8,.223,-10.16,102.2,112.4,70.5,+.025,-5.59,102.1,107.7,+5.93
Florida,34,21,13,.618,16.67,10.08,11,7,12,5,5,4,2577,2353,,68.4,109.6,.326,.403,.540,48.5,49.8,10.1,12.7,.507,12.3,28.7,.234,+18.96,114.5,95.5,67.1,-.059,+10.74,110.2,99.5,+4.57
Florida A&M,34,9,25,.265,-19.22,-8.34,7,9,6,4,2,20,2343,2684,,69.6,97.3,.324,.311,.513,45.2,44.5,8.1,7.8,.474,17.1,27.6,.234,-21.21,95.6,116.8,67.1,+.040,-7.55,101.0,108.6,+6.38
Florida Atlantic,31,12,19,.387,-5.36,-0.14,6,12,7,7,4,10,2155,2172,,70.9,97.6,.278,.286,.493,50.6,47.6,8.2,10.0,.456,15.3,29.2,.205,-6.10,95.9,102.0,69.2,-.025,-0.28,104.8,105.1,-0.38
Florida Gulf Coast,35,23,12,.657,1.93,-5.44,12,2,14,6,9,6,2847,2515,,73.3,111.0,.321,.330,.583,53.8,51.2,10.0,7.6,.554,16.8,31.7,.238,+3.47,107.5,104.0,71.6,-.059,-6.95,102.4,109.3,-0.65
Florida International,32,14,18,.438,-4.30,-1.99,8,10,11,7,3,9,2262,2278,,69.8,99.0,.368,.331,.503,47.8,46.4,10.6,9.0,.479,13.6,25.5,.224,-5.33,98.4,103.7,69.0,-.039,-3.16,103.0,106.1,-6.95
Florida State,35,23,12,.657,15.79,8.50,9,9,13,2,4,7,2806,2551,,72.2,109.4,.370,.368,.562,51.8,52.6,9.4,14.0,.532,15.4,31.7,.256,+17.77,114.3,96.5,71.2,-.029,+9.27,109.6,100.3,-6.91
Fordham,31,9,22,.290,-6.74,1.26,4,14,8,9,1,10,1931,2179,,66.8,92.4,.269,.468,.510,42.6,60.5,13.5,6.4,.479,16.9,18.7,.190,-11.63,94.5,106.1,66.0,+.009,-0.38,104.5,104.9,-5.39
Fresno State,32,21,11,.656,8.17,1.84,11,7,12,5,8,5,2459,2201,,68.5,110.9,.378,.304,.578,51.9,46.9,9.8,9.3,.550,15.3,28.2,.262,+10.07,109.7,99.6,66.6,-.057,+0.84,105.8,105.0,-6.31
Furman,33,23,10,.697,4.43,-3.64,13,5,13,3,7,6,2619,2260,,70.5,112.1,.278,.474,.577,50.1,55.8,11.3,6.0,.554,14.4,27.5,.198,+7.41,108.9,101.5,68.6,-.005,-4.53,103.1,107.6,-0.73
Gardner-Webb,32,14,18,.438,-9.68,-3.79,9,9,11,2,3,13,2258,2307,,69.1,100.6,.284,.365,.538,50.7,50.5,8.7,8.5,.508,17.2,26.8,.204,-8.52,97.6,106.1,67.7,+.021,-2.87,103.1,106.0,+6.54
George Mason,33,16,17,.485,-2.99,0.83,9,9,10,7,5,7,2371,2497,,69.6,101.4,.318,.362,.529,50.8,44.9,8.6,8.0,.491,15.9,27.9,.236,-5.17,102.1,107.3,69.1,+.117,-0.68,105.2,105.9,-3.59
George Washington,33,15,18,.455,-0.72,2.13,7,11,13,5,1,10,2225,2319,,66.3,101.8,.289,.301,.526,50.8,52.9,8.6,13.1,.495,16.5,31.7,.205,-2.66,103.6,106.2,65.8,+.036,+0.31,105.3,105.0,+0.16
Georgetown,30,15,15,.500,7.16,5.29,5,13,11,8,4,6,2350,2294,,71.7,106.2,.383,.351,.564,53.3,65.3,7.4,9.8,.518,18.0,31.1,.297,+7.44,109.7,102.3,70.5,-.046,+6.28,108.4,102.1,-17.81
Georgia,33,18,15,.545,10.24,8.87,7,11,11,4,4,9,2247,2202,,65.3,102.7,.401,.346,.517,53.6,52.4,5.8,12.7,.475,16.2,34.8,.281,+11.64,107.5,95.9,64.4,+.010,+10.09,111.0,100.9,+0.51
Georgia Southern,33,21,12,.636,-0.54,-3.28,11,7,10,3,8,7,2504,2315,,70.5,107.2,.396,.394,.529,49.5,38.9,9.7,10.4,.497,13.6,31.1,.263,+1.65,105.9,104.3,68.9,+.015,-2.52,102.9,105.4,-1.55
